id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
JUNGKOOK-1,Still With You,Still With You,2020-06-05,1,Still With You,,Still With You,"That faint voice of yours that grazed me
Please call my name one more time
I’m standing still under the frozen light, but
I will walk towards you, step by step
Still with you

A pitch dark room
I shouldn’t get used to it
But I’m used to it again
The low-pitched sound of the air conditioner
If I don’t have this, I might just fall apart

We laugh together, we cry together
These simple feelings were everything I had
When will it be?
If I see you again
I will look into your eyes
And say, ""I missed you""

In a rapturous memory
The rain pours even when I dance alone
By the time this mist clears
I'll run with my feet wet
So hug me then

The moon looks lonely
Like it's crying in the bright night sky
Even though I always know the morning will come
I want to stay in your sky like a star

Every day, every moment
If I knew this was gonna happen
I would have remembered more of them
When will it be?
If I see you again
I will look into your eyes
And say, ""I missed you""

In a rapturous memory
The rain pours even when I dance alone
By the time this mist clears
I'll run with my feet wet
So hug me then

Behind the faint smile that looked at me
I will draw a beautiful purple shade
Though our footsteps may be out of step
I want to walk this path with you
Still with you",FALSE,FALSE,,JUNGKOOK,FALSE,KOR,FALSE,FALSE,0i3baFZqWSrjjgTWrhKunB,239905,0eFMbKCRw8KByXyWBw8WO7,0.529,0.469,1,-6.967,0,0.0358,0.0899,1.53E-05,0.831,0.344,87.864,4,,
JUNGKOOK-2,Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),2022-02-11,1,Stay Alive (Prod. SUGA of BTS),,Stay Alive (Prod. SUGA of BTS),"Mmm, please stay alive, yeah

When did things start to go wrong?
I can't remember at all
I whisper as I hide myself in this small room
Darkness is my only friend (Only friend)
My hand reaching out for salvation
Am I strange?
A room stained with blood
Please, somebody save me

Hide in the moonlight
There ain't no miracles
My hopes are humble
Hide in the moonlight
I'm not asking for a lot
But I guess it's too much
At the end of this sleepless twilight
Feels like I strayed through this nightmare
With my eyes wide opеn
Came like a miracle, look likе a miracle
Just like a miracle, those few words

You are my fate
No words can express it enough
Salvation that saved a wearied me
Is that easier to grasp
Those few words that saved me
I'll be by your side after many nights
Oh, yeah (Those few words)
I'll stay by your side even if my feet bleed

Please, you stay alive
(Woah-oh-oh, woah)
Please, you stay alive
(Woah-oh-oh, woah)
Please, you stay alive

The shadow is growing bigger
But it's okay because you are my big light
Because you are the profit in my life
Just smile like you always do
You resemble me so much
I resemble you so much
At times, I get scared for no reason
Why am I feeling like this?

At the end of this endless nightmare
That I don't know if it'll ever end
You raise me up every day
Came like a miracle, look like a miracle
Just like a miracle, those few words

You are my fate
No words can express it enough
Salvation that saved a wearied me
Is that easier to grasp
Those few words that saved me
I'll be by your side after many nights
Oh, yeah (Those few words)
I'll stay by your side even if my feet bleed
Please, you stay alive

You are my salvation
No words can express it enough
Please, you stay alive
(Woah-oh-oh, woah)
Please, you stay alive",FALSE,FALSE,,JUNGKOOK,FALSE,KOR,FALSE,FALSE,6nvSZLAsbg56fGSCVm8fL9,210928,7CAdT0HdiQNlt1C7xk2hep,0.512,0.76,2,-5.889,0,0.0682,0.299,0,0.103,0.495,130.096,4,,
JUNGKOOK-3,My You,My You,2022-06-13,1,My You,,My You,"Summer has already spread in the air
Breeze is already blowing
The last cold snap is going out
The days were getting longer and longer
But my days were still going on, and on, and on
I got wet in the sun shower and looked up at the night sky

It was quite a lonely night
In the blink of an eye
The dark faded out
Blooming under the sunlight
Memories with me and you

All these lights are colored in by you
All these times are precious due to you
Four sеasons have passed with you
Four scents wеre left 'cause of you
All the reasons why I can laugh out
All the reasons why I sing this song
Thankful to be by your side now
I'll try to shine brighter than now

Will it disappear?
Is it a dream?
I toss and turn
Falling asleep again
Can it last forever?
My bitter heart
I try to sooth it
And get stuck in the night

A quite lonely night
The dark clouds scatter suddenly
Engraved under the silver of light
The warmth you left behind
All the light is colored by you
And my time becomes perfect
Again after four seasons
It's getting deeper again
The reason I smile
And I'm able to sing this song
Thank you for being by my side
I'll shine brighter

On a starry night
Hope my you sleep tight
Shining purple light
Thankful to be by your side now
On a starry night
Hope my you sleep tight
Shining purple light
Thank you for being by my side",FALSE,FALSE,,JUNGKOOK,FALSE,KOR,FALSE,FALSE,2JtVLn2oCVjOik77fh75uU,165070,0pNFrM5L0te1EXGxveeYiR,0.451,0.691,9,-5.395,1,0.0374,0.421,0,0.338,0.354,143.997,4,,
JUNGKOOK-4,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022-11-20,1,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Ala ho la dan
Ala ho la dan
Ala ho la dan
Ala ho la dan

Look who we are, we are the dreamers
We make it happen, 'cause we believe it
Look who we are, we are the dreamers 
We make it happen, 'cause we can see it 

Here's to the ones, that keep the passion
Respect, oh, yeah
Here's to the ones, that can imagine
Respect, oh, yeah

Ala ho la dan
Ala ho la dan
Ala ho la dan
Ala ho la dan

Gather 'round now, look at me
Respect the love the only way
If you wanna come, come with me
The door is open now every day
This one plus two, rendezvous, all invited
This what we do, how we do

Look who we are, we are the dreamers 
We make it happen, 'cause we believe it 
Look who we are, we are the dreamers 
We make it happen, 'cause we can see it 

Here's to the ones, that keep the passion
Respect, oh, yeah
Here's to the ones, that can imagine
Respect, oh, yeah

Ala ho la dan
Ala ho la dan
Ala ho la dan
Ala ho la dan

Look who we are, we are the dreamers 
We make it happen, 'cause we believe it 
Look who we are, we are the dreamers 
We make it happen, 'cause we can see it 

Here's to the ones, that keep the passion
Respect, oh yeah
Here's to the ones, that can imagine
Respect, oh yeah

Ala ho la dan
Ala ho la dan
Ala ho la dan
Ala ho la dan",FALSE,FALSE,Fahad Al Kubaisi,JUNGKOOK,FALSE,ENG,FALSE,FALSE,6GnWToxHfF7hobSYdi5V8u,201391,0jY618wuln0b5b8sCxFgjk,0.709,0.879,0,-4.218,1,0.042,0.158,0.00158,0.441,0.34,114.99,4,,
JUNGKOOK-5,Seven (feat. Latto),Seven (feat. Latto),2023-07-14,1,Seven (feat. Latto) (Clean Ver.),,Seven (feat. Latto) (Clean Ver.),"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines
It's the way that we can ride
It's the way that we can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week
You love when I jump right in
All of me, I'm offerin'
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It's the way that we can ride
It's the way that we can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right, oh-oh-oh
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (oh, oh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week (Big Latto)
Tightly take control, tightly take his soul
Take your phone and put it in the camera roll
Leave them clothes at the door
Watchu waitin' for? Better come and hit yo' goals
Uh, he jump in it, both feet
Goin' 'til the sun up, we ain't gettin' no sleep
Seven days a week, seven different sheets
Seven different angles, I could be your fantasy
Open up, say, ""Ah""
Come here, baby, let me swallow yo' pride
What you on? I can match your vibe
Hit me up and I'ma Cha Cha Slide
You make Mondays feel like weekends
I make him never think 'bout cheatin' (uh)
Got you skippin' work and meetings
Let's sleep in, yeah (seven days a week, ooh)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second (oh, oh, oh)
You know night after night
I'll be lovin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (ooh, ooh, ooh, ooh, ooh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week",FALSE,FALSE,Latto,JUNGKOOK,FALSE,ENG,FALSE,FALSE,53985D8g3JcGBoULSOYYKX,184160,5Avril3IZ26DPVFHbJX8o6,0.776,0.831,11,-3.975,1,0.0457,0.316,0,0.0688,0.891,124.986,4,,
JUNGKOOK-6,Seven (feat. Latto),Seven (feat. Latto),2023-07-14,2,Seven (feat. Latto) (Explicit Ver.),,Seven (feat. Latto) (Explicit Ver.),"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I'll take my hands and trace your lines
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week
You love when I jump right in
All of me, I'm offering
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right, oh-oh-oh-oh
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (oh, oh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (Big Latto)
Tightly take control, tightly take his soul
Take your phone and put it in the camera roll
Leave them clothes at the door
Watchu waitin' for? Better come and hit yo' goals
Uh, he jump in it, both feet
Goin' 'til the sun up, we ain't gettin' no sleep
Seven days a week, seven different sheets
Seven different angles, I could be your fantasy
Open up, say, ""Ah""
Come here, baby, let me swallow yo' pride
What you on? I can match your vibe
Hit me up and I'ma Cha Cha Slide
You make Mondays feel like weekends
I make him never think 'bout cheatin' (uh)
Got you skippin' work and meetings
Fuck it, let's sleep in, yeah (seven days a week, ooh)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second (oh, oh, oh)
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (ooh, ooh, ooh, ooh, ooh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week",FALSE,FALSE,Latto,JUNGKOOK,FALSE,ENG,FALSE,FALSE,53985D8g3JcGBoULSOYYKX,184400,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0,0.0815,0.89,124.997,4,,
JUNGKOOK-7,Seven (feat. Latto),Seven (feat. Latto),2023-07-14,3,Seven (feat. Latto) (Instrumental),,Seven (feat. Latto) (Instrumental),,FALSE,FALSE,,,FALSE,NA,FALSE,FALSE,53985D8g3JcGBoULSOYYKX,184240,2D9mO7arRSeHAEHNVAacaA,0.846,0.9,8,-6.179,0,0.0857,0.0479,0.839,0.0651,0.565,125.041,4,,
JUNGKOOK-8,Seven (Weekday Ver.),Seven (Weekday Ver.),2023-07-17,1,Seven (feat. Latto) (Clean Ver.),,Seven (feat. Latto) (Clean Ver.),"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines
It's the way that we can ride
It's the way that we can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week
You love when I jump right in
All of me, I'm offerin'
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It's the way that we can ride
It's the way that we can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right, oh-oh-oh
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (oh, oh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week (Big Latto)
Tightly take control, tightly take his soul
Take your phone and put it in the camera roll
Leave them clothes at the door
Watchu waitin' for? Better come and hit yo' goals
Uh, he jump in it, both feet
Goin' 'til the sun up, we ain't gettin' no sleep
Seven days a week, seven different sheets
Seven different angles, I could be your fantasy
Open up, say, ""Ah""
Come here, baby, let me swallow yo' pride
What you on? I can match your vibe
Hit me up and I'ma Cha Cha Slide
You make Mondays feel like weekends
I make him never think 'bout cheatin' (uh)
Got you skippin' work and meetings
Let's sleep in, yeah (seven days a week, ooh)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second (oh, oh, oh)
You know night after night
I'll be lovin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (ooh, ooh, ooh, ooh, ooh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right, seven days a week",FALSE,FALSE,Latto,JUNGKOOK,TRUE,ENG,FALSE,FALSE,7pPaEvQFccrBU1VXhUWBI7,184160,50Af7YTMHGNbYyvgofTAGf,0.782,0.839,11,-3.933,1,0.0436,0.318,0,0.0667,0.914,124.994,4,,
JUNGKOOK-9,Seven (Weekday Ver.),Seven (Weekday Ver.),2023-07-17,2,Seven (feat. Latto) (Explicit Ver.),,Seven (feat. Latto) (Explicit Ver.),"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I'll take my hands and trace your lines
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week
You love when I jump right in
All of me, I'm offering
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It's the way that you can ride
It's the way that you can ride (oh-oh, oh-oh)
Think I met you in another life
So break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right, oh-oh-oh-oh
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (oh, oh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week (Big Latto)
Tightly take control, tightly take his soul
Take your phone and put it in the camera roll
Leave them clothes at the door
Watchu waitin' for? Better come and hit yo' goals
Uh, he jump in it, both feet
Goin' 'til the sun up, we ain't gettin' no sleep
Seven days a week, seven different sheets
Seven different angles, I could be your fantasy
Open up, say, ""Ah""
Come here, baby, let me swallow yo' pride
What you on? I can match your vibe
Hit me up and I'ma Cha Cha Slide
You make Mondays feel like weekends
I make him never think 'bout cheatin' (uh)
Got you skippin' work and meetings
Fuck it, let's sleep in, yeah (seven days a week, ooh)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second (oh, oh, oh)
You know night after night
I'll be fuckin' you right, seven days a week (yeah)
Monday, Tuesday, Wednesday, Thursday, Friday
Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (ooh, ooh, ooh, ooh, ooh)
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right, seven days a week",FALSE,FALSE,Latto,JUNGKOOK,TRUE,ENG,FALSE,FALSE,7pPaEvQFccrBU1VXhUWBI7,184400,3t1TAfnoXfnMclelI70UaX,0.788,0.841,11,-3.955,1,0.0432,0.301,0,0.0772,0.904,124.986,4,,
JUNGKOOK-10,Seven (Weekday Ver.),Seven (Weekday Ver.),2023-07-17,3,Seven (feat. Latto) (Instrumental),,Seven (feat. Latto) (Instrumental),,FALSE,FALSE,,,TRUE,NA,FALSE,FALSE,7pPaEvQFccrBU1VXhUWBI7,184240,1c8ftNR72kMLu9sf3kuGAZ,0.846,0.9,8,-6.179,0,0.0857,0.0479,0.839,0.0651,0.565,125.041,4,,
