id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
SUGA-1,Agust D,Agust D,2016-08-16,1,Intro : DT sugA (Feat. DJ Friz),,Intro : DT sugA (Feat. DJ Friz),"Are you ready?

I'm D-Boy because I'm from D
Suga, go
A, G, U, S, T, D
Turn up, turn up, turn up
They call me new thang
I'm D-Boy
Because I'm from D
G to the U, U to the STD
My busy passport
Brazil to New York
Next target is Billboard
My size is different to fit in the K-pop category
Paris to New York
A to the G to the U to the STD",FALSE,FALSE,DJ Friz,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,64182,3GAz3o5o3lZGUOPUSPG8ul,0.589,0.893,6,-4.586,1,0.439,0.00741,4.95E-05,0.153,0.621,159.667,4,,
SUGA-2,Agust D,Agust D,2016-08-16,2,Agust D,,Agust D,"They call me new thang
The recruit is here, to take over everything
The whole world, concert so sick
From Asiana Asia
You could be my new thang
I'm different from the hyungs
That ignore their duties
An uprising of celebrities
Damn only strong ones can mess with me
Some think it was easy for me to reach my position
Fuck you, I'm the thorn in the eyes of those hyungs
Who have no chances of becoming successful
To be honest, Ssaihanuwar is embarrassing
Now I sell 500,000 copies a year
I'm too big to fit in the K-Pop category, whoo
Right, if you want to go ahead
Try reserving first class
My seat is business
Yours is economy, forever behind me kissing my ass
Next target is Billboard
Brazil to New York
My busy passport

A to the G, to the U, to STD
I'm d-boy because I'm from the D
I'm the crazy guy, the lunatic on the beat
Sending listeners to Hong Kong with my rap
My tongue technology
A to the G, to the U, to the STD
A to the G, to the U, to the STD
A to the G, to the U, to the STD
Sending listeners to Hong Kong with my rap
My tongue technology

I'm the guy who shoves his junior or senior
Who copies from copiers
Doesn't matter if I'm nasty or if I'm a wack or fack
I'm the guy that will carve history on the ground
Always getting more light
Among other hopeless rappers
The racquet caused by the jealous hyungs
Who are scared I'd take away
Their source of income with my fame
Hey ho I don't give a shit
When you're busy being a moron
I will simply bury you alive in the grave
You dug out yourself
Hey ho you can't handle me
You wasted rappers should be grateful
That I'm an idol

'Cause I'm busy 24/7 what rest?
I hope those idiots who have lost their opportunities
Keep each other company
The wailing of those childish and jealous people
Don't realize what's important
Paris to New York damn
My non-stop schedule

A to the G, to the U, to the STD
I'm d-boy because I'm from D
I'm the crazy guy, the lunatic on the beat
Sending listeners to Hong Kong with my rap
My tongue technology
A to the G, to the U, to the STD
A to the G, to the U, to the STD
A to the G, to the U, to the STD
Sending listeners to Hong Kong with my rap
My tongue technology

I'm sorry, I mean it, I'm sorry
I'm sorry for taking away your source of income, boy
I’m sorry I reject fury
Your mom's going to be sad
When you lose your only asset, health
I'm sorry, you should change your job
Your ability of making yourself look like a moron
Is extraordinary so change your job, boy
I'm sorry I mean it I'm sorry
I'm sorry that your rapper sucks compared to me

A to the G, to the U, to the STD
I'm d-boy because I'm from D
I'm the crazy guy, the lunatic on the beat
Sending listeners to Hong Kong with my rap
My tongue technology
A to the G, to the U, to the STD
A to the G, to the U, to the STD
A to the G, to the U, to the STD
Sending listeners to Hong Kong with my rap
My tongue technology
A to the G, to the U, to the STD
I'm d-boy because I'm from D
I'm the crazy guy, the lunatic on the beat
Sending listeners to Hong Kong with my rap
My tongue technology
A to the G, to the U, to the STD
A to the G, to the U, to the STD
A to the G, to the U, to the STD
Sending listeners to Hong Kong with my rap
My tongue technology",FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,234082,6AknCCsxOsrJ2mkSdCtET1,0.499,0.984,10,-2.148,0,0.309,0.0245,0,0.0455,0.592,79.987,4,,
SUGA-3,Agust D,Agust D,2016-08-16,3,give it to me,,give it to me,"Even my family couldn’t foresee my success
What’s the point of talking about it when I wasn’t sure myself
Even my family approved me as a tough cookie
I’m the public enemy, the hyungs
Who benefited by slandering us
Every one of them had the taste of money
They say two things with one mouth
And head to the big companies
What you know about me?
You can’t control my shit
If you’re going to leave
Take back whatever you’ve said before
If you ask me how I’ve succeeded
I don’t really have an answer
But at least, I slept less and stayed active
Compared to you all to grow up

I’m still not sure about the secret to success
But I think I know the secret to failure
The secret is to play the fool just like you
And keep blabbing your mouth
But I wouldn’t live like that even if I had to die

Gi give it to me
Money, honor, whatever it may be bring it to me
Fame flashlight
Gi give it to me (gi give it to me)
I don’t mind whatever it may be so bring it to me

I can’t live like a dog when I’m born to be a tiger
Pour me whatever you have
Liquor, money or honor
I never beg for it
Whatever you’re holding in your hands
I have no desire
I only do what I have to do
Law of jungle?
The political world within the word “success”

You guys keep going after each other’s throats
Yeah, right ass**** yeah
Yeah keep fighting
I don’t care if you keep
Digging your own grave or wasting yourself
So please continue living like that

Don’t touch me, don’t even put your hand on me
You might end up in a coffin
If you keep fooling around sloppily
One for the money and two for the show
Fame flash light gi give it to me

Gi give it to me
Money, honor, whatever it may be bring it to me
Fame flash light
Gi give it to me (gi give it to me)
I don’t mind whatever it may be so bring it to me",FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,149524,1m0yEldZVNu9SzmtqfFWRt,0.657,0.751,11,-3.889,1,0.185,0.000833,1.05E-05,0.158,0.43,94.987,4,,
SUGA-4,Agust D,Agust D,2016-08-16,4,skit,,skit,,FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,74298,26HtJsUEt63fiyqvqBA1aN,0.503,0.711,6,-14.805,1,0.0998,0.46,0.000631,0.358,0.127,121.316,5,,
SUGA-5,Agust D,Agust D,2016-08-16,5,치리사일사팔 (724148),치리사일사팔 (724148),724148,"Not many years passed
Since I joked I was going to do music
The best place you’d end up is at the music academy
When you do music in Daegu
The thought of “I’ll be the principal” pissed me off
This is my one and only life so whatever it may be
I should try becoming the No.1 for once
I couldn’t reach No.1 with studies
But I thought I could with music
8 out of 10 people around me go
“That ass****’s doing his s*** again”
Look closely ass****s, you guys are losing again
Anyway I thought I should leave Daegu
If I were to do music with more style uh
Shaved head high schooler stands
In front of the audition posters with brave footsteps

It’s the rapping competition organized by Bang Sihyuk
Bang Sihyuk is that guy
Who worked with that Baek Jiyoung that-
Hyungnim, isn’t that the guy who wrote
“Like being shot by a gun”
So that’s how I entered the competition
With my crew hyungs

They said we should pass the preliminary round first
To reach the final round
Ok that’s easy peasy
The beat they gave us to rap
I changed the entire thing
I started re-arranging the beats

Look at this, who would do this
If you were me, would you do this?

Listen, which company would, huh?
Say no to this genius

In the company’s view, yo, they’ve hit the jackpot
Hazy belief, that is the base of my success
I’m saying this now because it’s a past
But the next day after preliminary round
I got a call from area code 02

I entered Seoul on 2010 November 7th
There’s nothing much about Gangnam
Trying to win a mental battle as a country bumpkin from Daegu
Coolly, I ate my dinner out
What the fuck my eyes spun when I saw the bill
My one month allowance was merely 30 shit
I knew this wasn’t anything close to enough
So I started working early morning part time jobs uh
This always affected my school arriving time uh
When I go to school
All of them are from wealthy families
They waste more money
Than my one month allowance on liquor
And what? What? They pretend they got no money
Shut the fuck up ass***e
Shut your bloody mouth

Need of success?
No I’m just in need of money
I’ve forgotten about being stylish
Practicing at night and part timing early morning
Dragging my exhausted body to school
I end up sleeping
I turn 20
And the scene of our graduation hall is crap
Those ass****s who gamble all night?
They’ve here in their foreign brand cars
Well that makes me quite jealous, envious
I knew the world was unfair
But there’s someone living
In a 15 pyeong two room with 10 people
When there’s someone driving a foreign brand car
Right after graduating

Ok ok ok watch closely
Leave your doubtful comments about whether I’d debut
Watch me after a year ass****, look at what I’ll be doing
You would see me on TV and then decide to contact me",FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,185733,7izWhevJMSFCtfDCFXQwjt,0.684,0.964,4,-3.341,0,0.338,0.0125,0,0.0848,0.591,89.562,4,,
SUGA-6,Agust D,Agust D,2016-08-16,6,140503 새벽에 (140503 at dawn),140503 새벽에,140503 at dawn,"Breaking off from the world, after leaving home
At the age of 19
I didn’t want to consume my emotions
In my perspective
My trainee life was 100 out of 100
But sociophobia develops and my human relations is 0
I always prepare two masks
Hiding my true self
Behind the defensive image
I thoroughly hide myself
As if I’m a criminal
I couldn’t take a step outside the dorm
That was like a prison
Drifting away
Friends, family or anyone around me
They can’t remain beside me so they brush past me
The arrow still misses the target marked “human relations”

Pretending not to be lonely, pretending not to be in pain
Pointlessly pretending to be okay
Pointlessly pretending to be strong
Don’t climb over the wall I’ve built in front of me
I’m the island in this vast ocean, don’t abandon me",FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,84550,7KqWZhPNdkcYRqgDU1W7RX,0.756,0.896,1,-9.594,0,0.874,0.213,0,0.313,0.31,90.781,4,,
SUGA-7,Agust D,Agust D,2016-08-16,7,마지막 (The Last),,The Last,"On the other side of the famous idol rapper
Stands my weak self, it's a bit dangerous
Depression, OCD
They keep coming back again from time to time
Hell no perhaps that might be my true self
Damn huh feeling estranged in reality
The conflict with ideal, my head hurts
Around the age of 18, I developed social anxiety
Right, that was when my mind was gradually polluted

At times I'm scared of myself too
Thanks to the depression that takes over me
And all my self-hatred
Min Yoongi is dead already (I killed him)
Comparing my dead passion with others
It's now a part of my daily life

On the first visit to a psychiatric ward
My parents came up with me
We listened to the consultation together
My parents said they don't truly understand me
I don't understand myself well either
Then who would understand?
Friends? Or you? Nobody knows me well

The doctor asks me if I've (censored)
I answered without any hesitation that I have

Habitual saying uh
I don't give a shit I don't give a fuck
All those words uh
Those words are said to hide my weak self
Those days I wish I could erase
Right, that performance day
Which I don't remember very well
The day I confronted myself
When I hid inside the bathroom
Because I was scared of people

That time I, that time I
I thought success would make everything fine
But you see, but you see
As time goes by, I feel like I'm turning into a monster

I've exchanged my youth for success
And that monster demands more wealth
At times it puts a collar on my neck
To ruin and swallow me with greed
Some try to shut my mouth and say
I should swallow this forbidden fruit
I don't want it
They want me to leave this garden

Shit shit I got it so stop it
I'm the root of all this so I'll stop myself
If my misfortune is your happiness
I'll happily stay unfortunate
If I'm the figure of hate
I'll get on the guillotine

The things I've only imagined turns into reality
My childhood dreams are in front of my eyes
The night when I performed in front of an audience of 2
Now the Tokyo Dome is right in front of my nose
My one and only life
I can easily live it passionately than any other
My fan my hommie my fam
I hope you don't worry
Because I'm really okay now damn

I've denied my nature many times
My address is an idol and I won't deny
The anguish that dug into my mind countless times
There's no answer at the end of wandering

My pride which I thought I had given away
Has turned into self-respect
My fans, keep your head high with pride
Because who can do it like me uh

Seiko, Rolex, AX hall and gymnastic stadium
The heads of thousands nodding to my hand gesture
Show me the money
It's not that I couldn't but I didn't shit

Selling ourselves or not
You all say we couldn't do it but we didn't shit
The root of my creativity has tasted
The sweet, bitter, and shit of this world
Those days when I tried to sleep on the bathroom floor
It's all memories now uh they're now memories
My shoulder which shattered
Thanks to the accident I met
During my part-time job
The debut which I clung as if it was my life
Who do you think you're fooling
By pretending you've gone through all the miseries

Seiko, Rolex, AX hall and gymnastic stadium
The heads of thousands nodding to my hand gesture
Sorrow created me uh look at me closely uh
Selling ourselves or not you all say
It's not that we couldn't do it
But that we didn't want to, shit",FALSE,FALSE,,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,245757,2FUZnIf0LasXgvXMewJ0lO,0.755,0.837,1,-2.704,1,0.203,0.00167,0.00609,0.0848,0.444,119.98,4,,
SUGA-8,Agust D,Agust D,2016-08-16,8,Tony Montana (Feat. Yankie),,Tony Montana (Feat. Yankie),"Hey gentleman
Wait a minute
You pray for my failure
Sorry I have no problem shit
Mo money mo problem shit
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana

I know, feel like ha Tony Montana
Success and happiness look alike but they’re different
But I want a bigger success
More wealth and bigger honor
I want the money to chase me but I hope
I don’t become the monster chasing only money

I pray
I tell myself I won’t hope for other’s failure
My family and fan, and my team are my top priorities
That’s right, let’s earn money
My grand ambition is quite high
The world is yours
Now the entire world is god damn in my hand

Hey gentleman
Wait a minute
You pray for my failure

Sorry I have no problem shit
Mo money mo problem shit

I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana

Bigger dream hope Korean Dream
It might seem easy one two three ain’t no
Stone, paper, scissors-drilling formula
If you run into you gone bleed by my feet
You invest morphine
This is my block oh taking away your revenue Andreas
Superciliously swinging the bat 4 5
6 7 8 9 cream
Get the money uh on my mind
After a scene liquor shot (let’s fly)
Like a butterfly get high look above your head
I’m passing above you ass****

Fuck it you’ve lost your mind
Your in the groggy state
Just growing older, you’re the moth of hip hop

Hey, whatever you do hey, hey
Hey, what do you know, huh? no

Your “cut me some slack” whines, bla bla
Yeah fuck the system I say good bye bye
I shatter the bottom to the top
Yeah fuck your belief I say oh die die

Hey gentleman
Wait a minute
You pray for my failure

Sorry I have no problem shit
Mo money mo problem shit

I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana
I know, feel like ha Tony Montana",FALSE,FALSE,Yankie,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,207873,041DRqg0jswhQut7PMjnrv,0.609,0.776,4,-5.837,1,0.0595,0.00026,1.46E-05,0.105,0.266,116.009,4,,
SUGA-9,Agust D,Agust D,2016-08-16,9,"Interlude : Dream, Reality",,"Interlude : Dream, Reality",,FALSE,FALSE,,SUGA,FALSE,NA,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,92685,3qujZM6hKzQ7UCzNFD9JFa,0.593,0.255,1,-10.061,1,0.0454,0.641,0.873,0.101,0.077,150.118,4,,
SUGA-10,Agust D,Agust D,2016-08-16,10,so far away (Feat. SURAN),,so far away (Feat. SURAN),"It’s really a bitch to not have something you want to do
I know that it seems pathetic
To not have a dream like everyone
“Everything’s going to be alright if you go to university
And do as we tell you”
I’m the asshole for believing those words
I'm living because I can’t die

Just pass me the drink
Because I want to get drunk today
So please don’t try to stop me
I don’t mind the brand, it might be a luxury
For a person with no job to have a drink
Everyone is running but why am I the only one still here?
Everyone is running but why am I the only one still here?
Everyone is running but why am I the only one still here?

So far away, if I had a dream
If only I had a flying dream
Don’t fall away, if I had a dream
If only I had a flying dream

Dream, I will be there for your creation
Until the end of your life
Dream, wherever you might be
It will be lenient
Dream, you will fully bloom
After all the hardships
Dream, your beginnings will seem humble
So prosperous will your future be

That’s right, fuck, I live because I can’t die
But I don’t have anything I want to do
I’m in so much pain and loneliness but people around me
Keep telling me to regain my consciousness
I try to vent my anger but I only got myself
So what’s the point of venting my anger
I’m scared to open my eyes everyday and start breathing

Even my friends and family are drifting away
I feel anxious as time passes by
It feels like I’m all by myself
I hope everything disappears when I’m alone
I hope things disappear like mirage
I hope things disappear
I hope my damn self disappears
I’m abandoned like this in the world
In this moment I’m drifting away from the sky
I’m falling

So far away, if I had a dream
If only I had a flying dream
Don’t fall away, if I had a dream
If only I had a flying dream

Dream, I will be there for your creation
Until the end of your life
Dream, wherever you might be
It will be lenient
Dream, you will fully bloom
After all the hardships
Dream, your beginnings will seem humble
So prosperous will your future be

So far away, if I had a dream
If only I had a flying dream
Don’t fall away, if I had a dream
If only I had a flying dream

Dream, I will be there for your creation
Until the end of your life
Dream, wherever you might be
It will be lenient
Dream, you will fully bloom
After all the hardships
Dream, your beginnings will seem humble
So prosperous will your future be

I will be there for your creation
Until the end of your life (don’t far away)
Wherever you might be
It will be lenient
You will fully bloom
After all the hardships
Your beginnings will seem humble
So prosperous will your future be

So far away
So far away
So far away
So far away

So far away, if I had a dream
If only I had a flying dream
Don’t fall away, if I had a dream
If only I had a flying dream

So far away
Don’t fall away
So far away
Don’t fall away
Dream, I will be there for your creation
Until the end of your life
Dream, wherever you might be
It will be lenient
Dream, you will fully bloom
After all the hardships
Dream, your beginnings will seem humble
So prosperous will your future be",FALSE,FALSE,SURAN,SUGA,FALSE,KOR,FALSE,FALSE,1qHUxg0YIm6caZQrDJvDdk,358270,2FviiM1DSKfJSRxMV5TD9w,0.482,0.828,11,-4.501,0,0.104,0.0093,0,0.325,0.274,93.892,4,,
