id,album_title,album_rd,eng_track_title,raw_track_title,featured,performed_by,lang,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature
FEAT-1,Old Town Road (feat. RM of BTS) [Seoul Town Road Remix],2019-07-24,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,,RM; BTS,Lil Nas X,ENG,114133,6woeVu3fVMflqen1t4N6pg,0.89,0.513,1,-5.996,1,0.154,0.0706,0,0.102,0.61,136.02,4
FEAT-2,Neva Play (feat. RM of BTS),2024-09-06,Neva Play (feat. RM of BTS),,RM,Megan Thee Stallion,ENG,157173,2ZqTbIID9vFPTXaGyzbb4q,0.826,0.756,2,-4.984,1,0.256,0.0203,0,0.0915,0.794,160.01,4
FEAT-3,Stop The Rain (TABLO X RM),2025-05-02,Stop The Rain (TABLO X RM),,RM,TABLO,ENG,190356,7kb6IV0z8Nd7vejSdAq0YN,0.792,0.618,10,-7.472,0,0.0382,0.303,0.0287,0.159,0.424,99.049,4
FEAT-4,wherever u r (ft. V of BTS),2023-12-30,wherever u r (ft. V of BTS),,V,UMI,ENG,153034,1k255f17DRuRbGrfz5Ifmd,0.642,0.434,8,-9.178,1,0.0558,0.78,0.00000301,0.109,0.484,104.846,3
FEAT-5,wherever u r (ft. V of BTS),2024-02-14,wherever u r (ft. V of BTS),,V,UMI,ENG,153034,6vt0ZVQyX3Oq3BNR1W5Pdo,0.642,0.434,8,-9.178,1,0.0558,0.78,0.00000301,0.109,0.484,104.846,3
FEAT-6,wherever u r (ft. V of BTS),2024-02-14,wherever u r (ft. V of BTS) - Lullaby [V-Ron Mix],,V,UMI; V-Ron,ENG,181589,0QKqNIRuEpRefFa6aVCCwj,0.575,0.433,0,-9.984,1,0.0399,0.84,0.000107,0.111,0.295,88.495,3
FEAT-7,wherever u r (ft. V of BTS),2024-02-14,wherever u r (ft. V of BTS) - [Instrumental],,V,UMI,NA,153034,1wn50dC1Ozux1iS3qnzj4z,0.892,0.324,8,-11.13,1,0.0807,0.744,6.36E-01,0.11,0.617,105.057,3
FEAT-8,wherever u r (ft. V of BTS),2024-02-14,wherever u r (ft. V of BTS) - Meditation [V-Ron Mix],,V,UMI; V-Ron,ENG,162000,2jGScMNshJuhHEGW0uE47N,0.576,0.186,3,-21.267,1,0.0766,0.877,0.00E+00,0.194,0.361,69.997,4
FEAT-9,wherever u r (feat. V of BTS and NATURE),2024-04-18,wherever u r (feat. V of BTS and NATURE),,V,UMI; NATURE,ENG,186896,0KO8Swcyb0KRPVwgkZsjyU,0.618,0.536,8,-10.4,1,0.0693,0.8,1.14E-04,0.818,0.326,105.007,3
FEAT-10,VIBE (feat. Jimin of BTS),2023-01-13,VIBE (feat. Jimin of BTS),,JIMIN,TAEYANG,ENG,175775,14XLUySagFhP9KoqOTg5ka,0.787,0.677,0,-5.304,1,0.0435,0.0676,0.00E+00,0.262,0.598,100.035,4
FEAT-11,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) [Trailer Version],2023-05-09,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) - Trailer Version,,JIMIN,JVKE; Fast & Furious: The Fast Saga; Kodak Black; NLE Choppa; Muni Long,ENG,62789,5qyjy0xfsHNzWxvXkHVB85,0.732,0.501,10,-8.167,0,0.305,0.386,0.00E+00,0.112,0.252,84.969,4
FEAT-12,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) [Trailer Version],2023-05-17,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) - Trailer Version,,JIMIN,JVKE; Fast & Furious: The Fast Saga; Kodak Black; NLE Choppa; Muni Long,ENG,62789,2GhOHZynysGm5B8R6iCihi,0.732,0.501,10,-8.167,0,0.305,0.386,0.00E+00,0.112,0.252,84.969,4
FEAT-13,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) [Trailer Version],2023-05-17,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long),,JIMIN,Kodak Black; NLE Choppa; JVKE; Muni Long; Fast & Furious: The Fast Saga,ENG,175802,1vvcEHQdaUTvWt0EIUYcFK,0.715,0.681,10,-4.25,0,0.113,0.129,0.00E+00,0.152,0.277,84.924,4
FEAT-14,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long / FAST X Soundtrack),2023-05-18,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long),,JIMIN,Kodak Black; NLE Choppa; JVKE; Muni Long; Fast & Furious: The Fast Saga,ENG,175802,4g1Ant3Me43Cm5Lx91bV8e,0.715,0.681,10,-4.25,0,0.113,0.129,0.00E+00,0.152,0.277,84.924,4
FEAT-15,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) (FAST X Soundtrack),2023-05-18,Angel Pt. 1 (feat. Jimin of BTS JVKE & Muni Long) - Trailer Version,,JIMIN,JVKE; Fast & Furious: The Fast Saga; Kodak Black; NLE Choppa; Muni Long,ENG,62789,2rgCR1PPHPGJBppdBOqor0,0.732,0.501,10,-8.167,0,0.305,0.386,0.00E+00,0.112,0.252,84.969,4
