id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
JHOPE-1,Hope World,Hope World,2018-03-02,1,Hope World,,Hope World,"Yeah, yeah, yeah

My name is my life (life)
A hopeful vibe, a positive rather than a negative type
I live up to my name, but ain't no price, woo
Not a romanticist
An age without a hitch
I enjoy curses and vulgar language
But I don't do that in my music
If I were to say about me, every day is like D-day
A lifetime of thanking for the environment I'm given
A life that makes me anticipate living
My 20s where I believe in myself and work, respect
My father, mother
I take after that blood
The baton that was passed on and received
I run in step with this motto
This is my very own delight
To my world, cheers

(Say) Hello to my Hope World
This is my world, my own story
I run 20,000 leagues under the sea
Okay, shout out to my Hope World
Whoever you may be
Let's go one round around the world
Like a novel, my very own feel (Feel)

Yeah, to fall for it
Yeah, to dig it up
Yeah, to crash into it
Yeah, yeah, yeah
This is style, this is mine
The same-same kids, one body, one mind, time
To be in one body and soul
Let's try it together, it's a submarine here
Everyone's Aronnax, I'm Captain Nemo, follow
Now meaningfully, firmly, like that of an optimist
That's right, enjoyably all together
Above the water, we become swans
Day, day
Substitute yourself into the world
Have some faith, like a religion, Amen
To give it a meaning was what I intended
You just need to receive it, feel like payday

(Say) Hello to my Hope World
This is my world, my own story
I run 20,000 leagues under the sea
Okay, shout out to my Hope World
Whoever you may be
Let's go one round around the world
Like a novel, my very own feel (Feel)

Hello to my Hope World
My own story
Shout out to my Hope World
Like a novel, my very own feel

I’m just believing myself and running, alright (Alright, alright)
This world is deep and we are going for it, up all night

(Say) Hello to my Hope World
This is my world, my own story
I run 20,000 leagues under the sea
Okay, shout out to my Hope World
Whoever you may be
Let's go one round around the world
Like a novel, my very own feel (Feel)

Trust me and run
Baby, alright, woo
The world is deep, and we'll give it a go
Baby, all night, baby",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,204930,5UMPPsXaGbR1qtzcnEtTpM,0.706,0.895,1,-4.456,1,0.16,0.0138,0,0.595,0.771,117.007,4,,
JHOPE-2,Hope World,Hope World,2018-03-02,2,P.O.P (Piece Of Peace) Pt. 1,,P.O.P (Piece Of Peace) Pt. 1,"What I know, take 1
Searching for dreams, take 2
Having a realization, take 3
Inside this film-like life, there are NGs sometimes
Anyone makes mistakes
And anyone suffers
They don't get it
But I know that pain
No pain no gain
To us, always
Confession* and blockades
Fade away like that
I want to convey courage
You are the standard for happiness and you walk that road
I want to fill up that belief
Like a simple piece of cake that fills one's stomach

Piece of peace
Likе that piece
Piecе of peace

If I
Someone's strength
Someone's light
I wish I could be a
Piece of peace

A job seeker
Someone who can't become any more than
Just a hot potato
One mind becomes the main agent
Complaining at problems
In reality we dream about peace but
Amidst an inevitable war
Constant daily reports of retreat
When will we advance past this?
Work that shares fakes
The shadow that covers
Blood and sweat is the daily wage that grows miserable
Answers like a drought
That makes sprouts wither
Even if you scream your song this world is hard of hearing
Yah
You guys did nothing wrong
Try crashing, try running
To bring it to fruition
Yah
If I can become that piece
I'll dole out without a word of protest
To this country first

If I
Someone's strength
Someone's light
I wish I could be a
Piece of peace
If I
Someone's strength
Someone's light
I wish I could be a
Piece of peace

I want to help
I used to be like them, someone with passion
Make dreams brighter, get rid of the nightmares
Peace will be right there
I want to help
I used to be like them, someone with passion
Make dreams brighter, get rid of the nightmares
Peace will be right there

If I
Someone's strength
Someone's light
I wish I could be a
Piece of peace
If I
Someone's strength
Someone's light
I wish I could be a
Piece of peace",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,181113,78GQP9XBSqpEDlMoPAbUAJ,0.547,0.844,6,-5.294,1,0.0865,0.0066,2.32E-06,0.0604,0.666,175.814,4,,
JHOPE-3,Hope World,Hope World,2018-03-02,3,백일몽 (Daydream),백일몽,Daydream,"My character's like half and half, who knows?
A public figure's striving life, who knows?
Abstaining from large cravings, who knows?
Always out of breath for daydreaming, who knows?
Wanna cry in peace, I know
Wanna party like crazy, I know
Wanna be fluttered with love, I know
Yeh, I know, I know, I know, 'cause me
Y'all must've been caught like fish
In a net called ‘desire’ with thirst in life
Common psychological escape
Even I can't swim out of it
Not, a reality refusal
Discontent, misfitting, ain't none of that
Love ma' rule
For once, I want a different picture in my life
That I want to draw, a canvas dream (Sleep)

Beyond that boundary line over there
Let's feel it
Like the hole Alice fell into
Like the road that leads to Hogwarts
It'll be a world of mirages
And it’ll be all mine
It'll be exactly how I imagined
But it won't last forever (Shit)

Wishing on a sky, wishing on a scar
If there's the sun, I'd want to dream
Wishing on a sky, wishing on a scar
If there's the moonlight, I wouldn't want to wake up
My Daydream, daydream, oh
Daydream, daydream, oh
(Last) Daydream, daydream, ooh
Daydream, daydream
Daydream, daydream, ay yeah

So what? I get drunk until I go crazy
So what? I go out, don't think about work
Let's just feel the youth
Young, wild, and free, wild and free
Let me give it a try
No eggshell walking, errday
I do what I want with my feelings, errday
A love-expert sniping the heart when you fall in it, errday
Work out on my desire without a formula, errday
Ignore my character, errday
Wanna cry with no shame, errday
Dream list, the first priority
With no concerns on money (Deep sleep)

Beyond that boundary line over there
Let's feel it
Like the hole Alice fell into
Like the road that leads to Hogwarts
It'll be a world of mirages
And it'll be all mine
It'll be exactly how I imagined
But it won't last forever (Shit)

Wishing on a sky, wishing on a scar
If there's the sun, I'd want to dream
Wishing on a sky, wishing on a scar
If there's the moonlight, I wouldn't want to wake up
My Daydream, daydream, oh
Daydream, daydream, oh
(Last) Daydream, daydream, ooh
Daydream, daydream
Daydream, daydream, ay yeah

If you ask me back why I dream
I'll sound like bragging
I'll put it down for a minute
To match my mechanism, stay
I'll say that I'm getting some rest
What's this? What's this?
Diving in the daydream, all the swimming is for me
Like this, like this
All my footsteps and my fantasy

If I want something (Oh, oh, oh)
If I want something now (Ooh)
If I want something (Something, yeah)
If I want something now

That's a daydream (Daydream, daydream)
They dream, they dream (No, no, no, no, no)
That's a daydream (No, no, yeah)
Daydream, daydream (Daydream)
Daydream, daydream (Daydream, yeah)

Wake up",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,228759,56sdcbPR74RxqmKVbQzJ8s,0.749,0.961,8,-6.518,0,0.0874,0.00512,0,0.175,0.859,116.037,4,,
JHOPE-4,Hope World,Hope World,2018-03-02,4,Base Line,,Base Line,"The base line of my music, the base line of my movement
The base line in my life, the base line of my success
Woo, base line, base time from now on
The difference in base that you can feel
When you see my Base Line

I’m in my world, my essence always stays awake
Why would you feed hatred? I don’t need your hate code
They say, base on
Baseless grading, I spit at them
Hope world, base line

Street Dance, for 10 years
Rap that’s well-shaped with the rhythm of my body (Rap)
Current name-tag, top class
But life plan that still makes me fired up (Plan)
I’m desperate (Woo, woo)
Because the dream of my music still remains
I work hard (Every day)
Gratitude for my work is my real base

I’m going to eat you up with my spoon
There’s no trouble when one is prepared, so I don’t worry
Base line, the root of my success
Hope World, I’m going to flip the whole world over

I debuted because I worked harder than anyone
I slept less and did more, for myself
Main base of a movie-like life, mainstay
All those who haven’t come to their senses, play back

Huh, the base line of my music
The base line of my movement
The base line of my success
Base line
Base time from now on
The difference in base that you can feel
(Watch the base line)",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,89769,3eSCPt6StovDAIps2XhZ2Z,0.909,0.644,9,-5.32,1,0.203,0.0376,0.0111,0.401,0.228,94.982,4,,
JHOPE-5,Hope World,Hope World,2018-03-02,5,항상 (HANGSANG),항상,HANGSANG,"Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street
When I'm cruisin' down damn airport
I take a plane with my friends
Every day I'm so turnt up with my boys
Every day I'm so turnt up with my dawg
Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street

We're happy these days
Someone took off the Gucci tab
Someone has a couple hundred Kaws Toys
Someone's thinking about where to live
Only proper and right things
Only good things, looking out of the well
Only ripe things, nothing bitter
Only cool things with cool friends
When I open my eyes, red road (Walking, walking, walking)
Calls from top celebs (Talking, talking, talking)
All of these moments are always with my dawg
In the future, always with my thug
The world falls into step with these seven people
We're always, always together, turn up!

Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street
When I'm cruisin' down damn airport ('Port)
I take a plane with my friends
Every day I'm so turnt up with my boys
Every day I'm so turnt up with my dawg
Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street

Turn my swag, now I'm ballin' on that worldwide
Turn my swag, now my billin' level hyped out
My friends and I are at the summit
Celebrate, party every day
Hol' up, this is the place of j-hope, man
Hol' up, when did I buy this place?
Hobal hyung killed them, all the fake ass
Me too, me too, me too, me too
Every time I open my eyes, I'm on the cover of a magazine
It's like I own a house on top of the chart
Haters better cop out
Credit card chops like karate chop-chop
Me and my friend, we change it up, trendsetter
Hol' up, man, now you guys are the crow-tits
My friends and I are at the summit
BTS, ROCK BOTTOM, yeah, that's my team

Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street
When I'm cruisin' down damn airport
I take a plane with my friends
Every day I'm so turnt up with my boys
Every day I'm so turnt up with my dawg, yah
Always with my dawg, right
Always with my thug, right
Always with my dawg, right
Smash on the street
Smash on the street

By only my rules, I walk side by side with my bro
Believing just in us since before debuting
And harvesting hearsay
Everything was written
There was no one on our sides
Our team came up from behind
Now we're opening up the world
Feel like karaoke, sing it, shake it, check it
The whole world wants us, we're 18th, make it
Just like I dreamed, everything came true
Now it's our turn
We're gonna shoot 'em all, riches
The justifications are dog food
Bark, bark, with no front or back
Openly like dogs
Bravado, insistence, delusion
The nobodies who keep making trouble
Pow-pow to them
We're looking ahead, fair and square
The records we set, our results
Step on them
With ma' label, a foothold
With my fans, gratitude
With my team, always",FALSE,FALSE,Supreme Boi,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,229675,270k38FpoKhnvZLv50NlTr,0.832,0.896,6,-4.673,1,0.233,0.161,4.97E-05,0.247,0.618,178.996,4,,
JHOPE-6,Hope World,Hope World,2018-03-02,6,Airplane,,Airplane,"I remember myself back at that moment
When the barren land burned me down
I ran looking at the blue sky
Wanted to fly, in that airplane
I remember myself back at that moment (Oh, yeah)
When the barren land burned me down (No way)
I ran looking at the blue sky (No way)
Wanted to fly the airplane, airplane

I still can't believe it
Gwang-Ju native's aviation madness
Now in the very place of dream that was so high
Flying over the beautiful world
Always when I get on it
Butterflies in my stomach on the first trip to Japan
I still think of it
'Cause that flew my dream
'Cause it made this
Everywhere
Now I'm an 'Issue Man' and all the camera flashes
Blessings on the safe arrival, God bless

I remember myself back at that moment (Oh, yeah)
When the barren land burned me down (No way)
I ran looking at the blue sky (No way)
I fly more than enough in the airplane
Some people talk shit about me
Those some people get jealous in loneliness (Hey, yeah)
Don’t give a damn, I just laugh at it
Drink champagne in my airplane, airplane

Over the clouds every day, eh, uh
Over the clouds are my feelings
Over the clouds, check it, eh, uh
Chemistry between me and the clouds
Everyday with the clouds, eh, ha
The fun riding the clouds, the fading in with the clouds, you don’t know, maybe
Flying for years now
Got a mileage close to a million
It's time to console you, who didn't make it yet
I'll give the flight points as a present
Love the airplane mode
Turn off all the concerns, no matter what anyone says
Just continue keeping the first and look at the sky
Seems quite right from my seat now

I remember myself back at that moment (Airplane, yeah)
When the barren land burned me down (Airplane)
I ran looking at the blue sky (Airplane)
I remember those days in this airplane
Some people talk shit about me
Those some people get jealous in loneliness (Hey, yeah)
Don’t give a damn, I'm just happy
I made it, I feel it in my airplane, airplane",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,197913,2jk6oBuLiCZJTDWhlJEzIw,0.801,0.651,0,-7.855,1,0.0579,0.65,0,0.109,0.238,119.992,4,,
JHOPE-7,Hope World,Hope World,2018-03-02,7,Blue Side (Outro),,Blue Side (Outro),"Blue side
Blue side (Blue side)
Blue side
Blue side

(Blue side)
In my blue dream
(Back to blue side)
I will carry you
(Blue side)
Even if you say no
(Back to blue side)
In my eyes
(Blue side)
In my blue dream
(Back to blue side)
I'll put you in my arms
(Blue side)
Even if you say I can't
(Back to blue side)
In my arms

Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,0XX1044L7ovU5aon6nRiF7,90539,20zr2Oef3PVeGRxjmSF5CC,0.512,0.394,9,-10.202,0,0.0263,0.0149,0.901,0.309,0.083,80.522,4,,
JHOPE-8,Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G),2019-09-27,1,Chicken Noodle Soup (feat. Becky G),,Chicken Noodle Soup (feat. Becky G),"I let it rain, I clear it out
I let it rain, I clear it out
I let it rain, I clear it out
I let it rain, I clear it out

Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side

From Gwangju, one gang of you-know-what
Geum-nam Chung-jang Street, that’s my Harlem
Joined NEURON, bounce with my team, ayy
Went head over heels for dancing, workaholic, everyday
As a teen, grew up pulling all-nighters, that's the case
My height is measured by dance, I'm okay
A grand vision, a plan I'm going on to draw
A kid who goes on to shape his dream
Steps stomping over the rhythm
Popping, rocking, hopping, tutting, dougie, flexing, swaggin' (Woah)
Still do the work everyday, ASAP, for my own sake (Woah)
Always whipping myself, the carrots are on the trophies
Betting on my life, dancing is my cash
Hope on the street, now it's my own way
With Becky G on the side
Everyday I'm lit (Get it!)

We always got love
For where we come from
So let 'em know what’s up, ooh
No matter wherever we go
Bring it back to this place called home, babe
Now that you know it
Let me see you (Ooh, ooh, ooh, what, what?)

Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side

Chicken noodle, or chicken spaghetti
None of these women have the flow that Becky has
Latin American, I'm from here
Face of a saint, but freaky
Who will tell me what I've already seen? (Huh)
Where I was born, they didn't think a woman was going to stand out
What you gonna do, what you gonna do? (What, what?)
What you gonna do, what you gonna do? (What, what?)
What you gonna do, what you gonna do? (What, what?)
What you gonna do, what you gonna do
Look back at it, lights, camera, action
Definitely the best of the scene
Word on the street, we got the people reactin'
People who criticize simply make me pity them, haha


We always got love (Got love)
For where we come from (Where we from)
So let 'em know what's up (Ooh, yeah)
No matter wherever we go
Bring it back to this place called home, baby
Now that you know it
Let me see you (Ooh, ooh, ooh, what, what?)

Go!
I let it rain, I clear it out
I let it rain, I clear it out
I let it rain, I clear it out
I let it rain, I clear it out
Let's get it, let's get it
Let's get it, let's get it
Let's get it, let's get it
Let's get it, let's get it
I let it rain, I clear it out
I let it rain, I clear it out (Turn up!)

Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side
Chicken noodle soup
Chicken noodle soup
Chicken noodle soup with a soda on the side

Let it be your rain, and bring it out, yo
Let it be your rain, just bring it out
Let it rain no more, I clear it out
Let’s get it, let’s get it
Let’s get it, let’s get it
Let’s get it, let’s get it
Let’s get it, let’s get it, ayy",FALSE,FALSE,Becky G,J-HOPE,TRUE,ENG,FALSE,FALSE,2wwGHSWLwrlXDmi3DEaZ4A,235497,2y6Ty2NPAsP84XJAtzLxuk,0.827,0.817,2,-4.081,1,0.0953,0.00496,1.19E-05,0.294,0.167,97.008,4,,
JHOPE-9,Blue Side,Blue Side,2021-03-02,1,Blue Side,,Blue Side,"Everything changed between us, I shout alone, blue
Pale blue tears well in my eyes because of you, blue
Spring, summer, fall, winter, always the same feeling, blue
I want to go back to the time when I didn't know anything, blue

Blue side, blue side
Back to blue side, blue side
Blue side, blue side
Back to blue side, blue side
Blue side, blue sidе
Back to blue side, blue sidе
Blue side, blue side
Back to blue side, blue side

The sun shined on the cold and the clouds wrapped around the blue
I ride the wind in the sky to that place in this moment, blue
It's now comforting my heart, blue
I'm alone below the blue moonlight, blue

When I spit out my pains in the dark
When the cold air was frozen by sighs
I felt it
That I wanted to walk the blue road
On the rainbow
I’m singing my blues
Singing my bloom
Back in my room
I miss these days, I was blue with light breaths
I measure the weight between calmness and passion
But now I just want to burn blue to death

Blue side, blue side
Back to blue side, blue side
Blue side, blue side
Back to blue side, blue side
Blue side, blue side
Back to blue side, blue side
Blue side, blue side
Back to blue side, blue side

Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side

I will carry you
You might say no
But I'll hug you
In my eyes
In my blue dream
You might say I cannot
But I'll put you in my arms

Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side
Blue side
Back to blue side",FALSE,FALSE,,J-HOPE,FALSE,KOR,FALSE,FALSE,1PwHmb34vUnPLJp3vSLKed,198600,1nwdfbj4UyRMpa9L98a4Yi,0.469,0.706,0,-7.441,1,0.0368,0.000963,0.449,0.35,0.28,161.002,4,,
JHOPE-10,MORE,MORE,2022-07-01,1,MORE,,MORE,"Yeah, I'm thirsty
I need to go surfin' on the beat
I'm in my element
Soak up the music
Eenie, meenie, miney, moe (Meenie, miney, moe)
Dancin' baby flow
Keep my passion, I gotta go
I'm still (not enough)
Self-learning for eleven years
My highlighting's my art of learning
Endless studying
I crash and fall to make my art
Still make it move from where I stand
Make it mine, make it right
Somebody's favorite song again
That's half my life, the reason for living, the joy of life
Motivated to carry on (Skrrt!)

Bring it all
I'm doing it all

Hah, shout out
I say ""more""
Hah, yeah, right
'Causе I want some more
Hah, shout out
I say ""more""
Hah, yеah, right
'Cause I want some more

Kick snare in my ears, hear that hit that
Keep going nonstop, make my mixtape
Get feedback but still get back
Take everything like KitKat, tastes so sweet (Appreciate)
Mutual relationships, so good for me
Pump some gas and I drive to the beat
Watch out everyone, I'm reckless
Drunk in the artistic painting, keep hypin' up Dali
I want it, stadium with my fans, still
Bag all the trophies and Grammys too
Fame, money’s not everything, I already know it
My work makes me breathe, so I want more
Inhale, inhale, exhale, exhale
I feel alive

Bring it all
I'm doing it all

Hah, shout out
I say ""more""
Hah, yeah, right
'Cause I want some more
Hah, shout out
I say ""more""
Hah, yeah, right
'Cause I want some more

Yeah I’m thirsty
I need to go surfin' on the beat
I’m in my element
Soak up the music
Eenie, meenie, miney, moe, oh (Right?)
Dancin' baby flow
Keep my passion, I gotta go
I'm still (not enough)",FALSE,FALSE,,J-HOPE,TRUE,KOR,FALSE,FALSE,5Sk4Inca1WZhP7VLuD7DOi,180022,4XKXphKH76W4zNpkgFS5o2,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,4,,
