id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
JIMIN-1,Promise,Promise,2018-12-31,1,Promise,,Promise,"I'm sitting alone, only my mind wanders
Since when did you start hurting me?
See, you don’t even know

You're hurting me too cause you're mine
I just want to blow your mind
We're drifting apart again
""I don't even feel it"" That's what I say
But to be honest that's not it

I want you to be your light, baby
You should be your light
So that you won't be in pain
So you can smile
I want you to be your night, baby
You could be your night
I'll be honest with you tonight

You're hurting too 'cause you're mine
I just want to blow your mind
We're drifting apart again
""I don't feel it"" That's what I say
But to be honest that's not it

I want you to be your light, baby
You should be your light
So that you won't be in pain
So you can smile
I want you to be your night, baby
You could be your night
I'll be honest with you tonight

Now promise me, oh, oh
Several times a day, oh, oh
Though you feel alone, oh, oh
Don't throw yourself away, oh, oh
Oh, oh, oh, oh
Let's top for a moment
Pinkie promise me
Just promise me, oh, oh",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,7zugzVgHDiDlcwvsLxz43A,151011,2RUcwyW74Sv4VracHFrKdh,0.692,0.534,2,-7.155,1,0.0433,0.83,5.57E-06,0.238,0.739,88.964,4,,
JIMIN-2,Christmas Love,Christmas Love,2020-12-24,1,Christmas Love,,Christmas Love,"Christmas I love you
You're the one

Oh I been waitin' for this Christmas Day
My heart is already on this white street
It snowed in my dream last night
You've been waiting all day under the covers

Christmas I love you
Like the white snow
Fallen snow
You come down on my day
Christmas I love you
Oh, you're the one
I hope today lasts
Forever

Christmas love
Christmas love
Stay in my heart
For a long time
Christmas love
Christmas love
I've been waiting for
Today it's Christmas Day

I run over there like a child does
It feels like I'm flying over the clouds
If anyone is listening to me
Will you let the time stop now?

Christmas I love you
Like the white snow
Fallen snow
You come down on my day
Christmas I love you
Oh, you're the one
I hope today lasts
Forever

To be honest, I'm afraid you'll leave
Because today is short
I've been waiting for you all this time
Can you stay with me a little bit longer?

Christmas I love you
Like the white snow
Fallen snow
You come down on my day
Christmas I love you
Oh, you're the one
I hope today lasts
Forever

Christmas love (Christmas love)
Christmas love (Christmas love)
Stay in my heart
For a long time
Christmas love (Christmas love)
Christmas love (Christmas love)
I've been waiting for
Today it's Christmas Day",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,75uqqeXpDMUOpWfrPmCubF,197930,5oaQsszgxYAdABuXoWEOUe,0.608,0.753,7,-5.333,1,0.0289,0.0948,0,0.0957,0.622,99.978,4,,
JIMIN-3,"Our Blues, Pt. 4 (Original Television Soundtrack)","Our Blues, Pt. 4 (Original Television Soundtrack)",2022-04-24,1,With you,,With you,"I wanna be with you
And I wanna stay with you
Just like the stars shining bright
You’re glowing once more
Right here beside you I’m still
Walking wherever you go
You will live forever in me
Breathing deeply within me
Just take it all
I’m nothing without your love
I promise
I’ll never leave your love
My heart is beating ‘cause of you
Forever and ever and ever
Only you can take my heart
Dear my love love love
I wanna stay with you
The memories are always in this room called my heart
It is full of our stories
I don’t know when it started either
but I want to tell you
all my stories
Just take it all
I’m nothing without your love
I promise
I’ll never leave your love
My heart is beating ‘cause of you
Forever and ever and ever
Only you can take my heart
Dear my love love love
I wanna stay
Tore my heart
Now I’m in the dark
Will we meet in our dreams
Breaking my heart
Here we are apart
I wanna stay near you",FALSE,FALSE,Ha Sung-Woon,JIMIN,FALSE,KOR,FALSE,FALSE,3Zu8uym76sjmYEGTFsXnSy,201905,2gzhQaCTeNgxpeB2TPllyY,0.532,0.426,3,-6.117,1,0.0288,0.639,0,0.134,0.137,149.898,3,https://bts-trans.tumblr.com/post/682432926753964032/koreng-lyrics-with-you-our-blues-ost-by-jimin,"Trans cr; Annie
Spot Check cr; Faith & Mary @ bts-trans"
JIMIN-4,"Our Blues, Pt. 4 (Original Television Soundtrack)","Our Blues, Pt. 4 (Original Television Soundtrack)",2022-04-24,2,With you - Instrumental,,With you - Instrumental,,FALSE,FALSE,,,FALSE,NA,FALSE,FALSE,3Zu8uym76sjmYEGTFsXnSy,201487,7M30L99pePlQ3wh8IxVUsD,0.637,0.307,3,-9.624,1,0.029,0.461,0.962,0.108,0.0641,150.068,3,,
JIMIN-5,Closer Than This,Closer Than This,2023-12-22,1,Closer Than This,,Closer Than This,"Do you also remember?
The moment we first met?
We were so shy and awkward back then
Now that I look back
We've come this far in just a blink of an eye
We walked it together, alongside each other
At times, I fell and shed tears
We comforted each other, with a pat on the back
Gazing at one another with tears in our eyes
Calling out each other's names
Starting on June 13
To the us of thе present, herе and now
Even if you're not here
At the same place, always

Don't have to worry now
Letting go of your hand for a moment
But it's only a small comma in our story
Just call my name out loud
Until the days tinge purple once again

'Cause anytime you want me (I'll be)
Right here where you call me (I'll be)
I could never let you go
Never let you go
Whenever you need me (I'll be)
If you believe me (I'll be)
I'll never let you go
Never let you go

Whenever it rains, I'll remember the times I sang in the rain
Whenever it snows, I'll cherish how you smiled for me in the snow
On the spring day, we meet again, I'll tell you everything I couldn't before
My love, my babe, forever by your side
Seven equals one, right, our hearts still beat as one
Close your eyes for just a second, I'll be standing in front of you, oh

Don't have to worry now
Letting go of your hand for a moment
But it's only a small comma in our story
Just call my name out loud
Until the days tinge purple once again

'Cause anytime you want me (I'll be)
Right here where you call me (I'll be)
I could never let you go
Never let you go
Whenever you need me (I'll be)
If you believe me (I'll be)
I'll never let you go
Never let you go

When I knock on your door with our hearts united as one
Open it for me with your bright smile
When the paused time begins to run again
Baby, I'll come back to you

Let's sing it together, this song
For the day, we'll reunite again
I could never let you go (Never let you go)
Never let you go (Never let you go)
Let's sing it even louder, this song
So we can become one again
I will never let you go (I will never let you go; Oh-oh)
Never let you go (Oh)

Let's sing it together, this song (Yeah)
For the day, we'll reunite again (Yeah)
I could never let you go (I could never let you go)
Never let you go (Never let you go)
Let's sing it even louder, this song (Yeah)
So we can become one again (Yeah)
I will never let you go (I will never let you go)
Never let you go (Never let you go)",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,3auDI7RSdoJr99qMNXimP4,223302,3k6q0O9JnO2GhvD6C8fs20,0.716,0.54,0,-5.951,1,0.0381,0.389,0,0.0692,0.373,87.963,4,,
JIMIN-6,Set Me Free Pt.2,Set Me Free Pt.2,2023-03-17,1,Set Me Free Pt.2,,Set Me Free Pt.2,"Yeah

I got a good time
Yeah, time to get mine
I wandered into a maze
Hennessy at night
I never stop, I never stop
Again, repe-e-eat
I never stop, fuck all your opps
Finally free-e-e

Ah, yeah, ah, yeah
I'm standing at the edge
Not yet, not yet
I won't look back
Now yeah, now yeah
Fly away, butterfly-y-y
Finally free-e-e

Look at me now (Me now)
I won't hide anymore, even if it hurts
Going insane to stay sane
Raise your hands for the past me

Now, set me free-e-e
Set me free-e-e, set me free-e-e
Set me free-e-e, set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e

I got feel low
Still in a maze
But I got no time to break soul
Just let me flow
Hey fool, just get out of my way
Shut up, fuck off
I'm on my way

Ah, yeah, ah, yeah
It's begun, my prime time
Forget, forget
I'll gladly hop on
Now yeah, now yeah
Fly away, butterfly-y-y
Finally free

Look at me now
I won't stop, even if they mock me
Going insane to stay sane
Raise your hands for the past me

Now, set me free-e-e (Set me free, set me free)
Set me free-e-e (Set me, free)
Set me free-e-e (Set me free, set me free)
Set me free-e-e (Won't you set me free)
Set me free-e-e (Yeah)
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e (Free, free)
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Won't you set me free)

(Oh-eh-oh, oh-eh-oh, set me free)
(Oh-eh-oh, oh-eh-oh, set me free)
(Oh-eh-oh, oh-eh-oh, set me free)
Set me free",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,781fDX4OibkZA9fj56Ycbz,200929,59hBR0BCtJsfIbV9VzCVAp,0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,4,,
JIMIN-7,FACE,FACE,2023-03-24,1,Face-off,,Face-off,"All right
I guess the blame is on me
Look at me right now
Living like a fool, hmm, uh-huh
Believing in people
Is the beginning of a terrible nightmare, mhmm
Gave you all the money
Gave you all my heart
Your masquerade party
I was fucking drunk, oh
Even those damn days in the past
It’s all over now

It's a beautiful night (Beautiful night)
I think I’ve been found
Tonight, I don't wanna be sober (Sober)
Pour it up, it's all fucking over

Break it down
Break it down
This is my ordinary story
Get it out
Get it out
Like crazy, everybody scream
Yeah, yеah, eh, eh
Oh eh, еh, eh, hey-yeah
Pour it out
Pour it down
Until this night is over
Get it out
Get it out
All of it, every trace of you too
Yeah, yeah, eh, eh
Oh eh, eh, eh, hey-yeah

Mhmm
All right
With those sweet words of yours
You tried so hard to take every single thing from me, mhmm
Look at yourself
You want more, don’t you, why?
It’s okay if you do
It suits you, babe
I hope that part of you never changes
Even though you test me
Even though you try me
Even though you kill me
Even though you stab me harder, woah
I don't care about you
Even that day that felt like hell

It's a beautiful night (Beautiful night)
I feel like i have it all
Tonight, I don't wanna be sober (Sober)
Pour it up, it's all fucking over

Break it down
Break it down
This is my ordinary story
Get it out
Get it out
Like crazy, everybody scream
Yeah, yeah, eh, eh
Oh eh, eh, eh, hey-yeah
Pour it out
Pour it down
Until this night is over
Get it out
Get it out
All of it, every trace of you too
Yeah, yeah, eh, eh
Oh eh, eh, eh, hey-yeah",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,4xc3Lc9yASZgEJGH7acWMB,229627,3OdIiWnYRHPYtC313Z0Bwy,0.689,0.539,2,-7.671,0,0.048,0.178,1.45E-05,0.106,0.239,119.949,4,,
JIMIN-8,FACE,FACE,2023-03-24,2,Interlude : Dive,,Interlude : Dive,"Wow, everyone, I really missed you so much
This is how we meet
Everyone, this is Jimin",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,4xc3Lc9yASZgEJGH7acWMB,130996,2qg2jy3v50RwfV5FAqG3a2,0.284,0.495,0,-11.74,1,0.0421,0.789,0.835,0.0946,0.26,86.314,4,,
JIMIN-9,FACE,FACE,2023-03-24,3,Like Crazy,,Like Crazy,"(I think we could last forever
I'm afraid that everything will disappear
Just trust me)

She's saying
Baby, don't think about it
There's not a bad thing here tonight
Baby, it's fine if you leave
Stay with me, just for today

Watch me go
Drenching myself all night (Away)
So that even the morning
Gets drunk and doesn't arrive

As the loud music
I get faded out
A cliché story like a drama
I get used to it
Have I come too far to find the me that you used to know
Yeah, I know
You know
I know (Ooh)

I'd rather be
Lost in the lights
Lost in the lights
I'm outta my mind
Hold onto the end of the night
Every night
You spin me up high
The moon with you in its arms
Let me have a taste

Give me a good ride (Oh, I'm fallin', I'm fallin', I'm fallin')
It's gon' be a good night (Oh, I'm fallin')
Forever you and I

Mmm-hmm
Yeah, hey
Mmm-hmm
Ooh-woah
Mmm-hmm
Mmm-hmm
(Forever, you and I)

The me, reflected in the mirror
Is going crazy endlessly
I'm feelin' so alive, wasting time

I'd rather be
Lost in the lights
Lost in the lights
I'm outta my mind
Hold onto the end of the night
Each night
You spin me up high
The moon with you in its arms
Let me have a taste

Give me a good ride (Oh, I'm fallin', I'm fallin', I'm fallin')
It's gon' be a good night (Oh, I'm fallin')
Forever you and I

This will break me
This is gonna break me (Break me)
No, don’t you wake me (Wake me)
I wanna stay in this dream, don't save me
Don't you try to save me (Save me)
I need a way we (Way we)
I need a way we can dream on (On, on, on)
(Alone again
What's the point?)",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,4xc3Lc9yASZgEJGH7acWMB,212241,3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,7,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,4,,
JIMIN-10,FACE,FACE,2023-03-24,4,Alone,,Alone,"Since when?
Everyone laughing at me, it makes me feel scared
I tried to run away
The same you who lost your way

I'm drunk and asleep
I can't remember when
I've been thinking about what I'm doing
Why is it only me? No, everyone's like that
I'm pretending to be okay every time
I'm so pathetic

The same day (The same day)
It flows again (It flows again)
How long do I have to endure it?
Can I go back to where I am from?
This cold and lonely night
Without thinking
I walk in my dark room alone
I said it was okay
I feel like I'm losing myself slowly

Day and night, fall and repeat
Bad twilight, I look away but
Day and night fall and repeat (Mayday, get me out of here)
Make it right, it's gonna be all right

Lie, lie, lie, lie, lie, lie, lie

Even if you make excuses
I close my eyes and look away, oh
You know what's already broken
It's something that can't be undone

The same day (The same day)
It flows again (It flows again)
What do I have to do
For this darkness to come to an end?
This cold and lonely night
Without thinking
I walk in my dark room alone
I said it was okay
I feel like I'm losing myself slowly

Day and night, fall and repeat
Bad twilight, I look away but
Day and night fall and repeat (Mayday, get me out of here)
Make it right, it's gonna be all right

Lie, lie, lie, lie, lie, lie, lie",FALSE,FALSE,,JIMIN,FALSE,KOR,FALSE,FALSE,4xc3Lc9yASZgEJGH7acWMB,211250,5Hfnps0jaWFpYg55WOPexG,0.593,0.446,0,-7.776,0,0.0266,0.283,0,0.119,0.168,102.057,4,,
JIMIN-11,FACE,FACE,2023-03-24,5,Set Me Free Pt.2,,Set Me Free Pt.2,"Yeah

I got a good time
Yeah, time to get mine
I wandered into a maze
Hennessy at night
I never stop, I never stop
Again, repe-e-eat
I never stop, fuck all your opps
Finally free-e-e

Ah, yeah, ah, yeah
I'm standing at the edge
Not yet, not yet
I won't look back
Now yeah, now yeah
Fly away, butterfly-y-y
Finally free-e-e

Look at me now (Me now)
I won't hide anymore, even if it hurts
Going insane to stay sane
Raise your hands for the past me

Now, set me free-e-e
Set me free-e-e, set me free-e-e
Set me free-e-e, set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e

I got feel low
Still in a maze
But I got no time to break soul
Just let me flow
Hey fool, just get out of my way
Shut up, fuck off
I'm on my way

Ah, yeah, ah, yeah
It's begun, my prime time
Forget, forget
I'll gladly hop on
Now yeah, now yeah
Fly away, butterfly-y-y
Finally free

Look at me now
I won't stop, even if they mock me
Going insane to stay sane
Raise your hands for the past me

Now, set me free-e-e (Set me free, set me free)
Set me free-e-e (Set me, free)
Set me free-e-e (Set me free, set me free)
Set me free-e-e (Won't you set me free)
Set me free-e-e (Yeah)
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Oh-eh-oh, oh-eh-oh) Set me free-e-e (Free, free)
(Oh-eh-oh, oh-eh-oh) Set me free-e-e
(Won't you set me free)

(Oh-eh-oh, oh-eh-oh, set me free)
(Oh-eh-oh, oh-eh-oh, set me free)
(Oh-eh-oh, oh-eh-oh, set me free)
Set me free",FALSE,FALSE,,JIMIN,TRUE,KOR,FALSE,FALSE,4xc3Lc9yASZgEJGH7acWMB,200929,1fpj1CJPxY3YvN3AMAEYvt,0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,4,,
