id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
RM-1,RM,RM,2015-03-20,1,목소리 (Voice),목소리,Voice,"I didn’t have a dream
Like my lyrics, it was like that every day
Formulas and equations that couldn’t give me an answer
Those things eventually turned into many wounds*
It wouldn’t let me see the stars hidden behind its light
Killing me like this day by day
Meaninglessly, I’d devote my whole day on number games like grades**
I just wanted to succeed
Because that was all I constantly heard about from other people
I thought the mirage of happiness would be caught there
But sitting in front of my desk, I wasn’t happy for a single moment
Without my mom knowing, I slipped a blank page into my workbook
Writing down my identity to the drum bass
Breathing, which feels different from when I’m getting my grades
Even if I’d get 1st place my heart didn’t feel at peace
Is it really important to want the same thing others want?
Rather than living an entire life full of sorrowful sighs,
I decided to take off these restrictions and choose the life where I could just breathe***
Everyone pointed their fingers, the insincere people around me
My dream is to give my voice to everyone,
Regardless of what situation I’m in. With my music and my lyrics
I don’t know what you’ll feel while listening to this
It’s alright if you curse at me because you’ll eventually seek me out again
That’s right, even after 7 years, with a 50 000 won mic
In the corner of my room as ever and the mixtape that I put together on my own
Some say I’m fake, that’s right I’ll acknowledge my dark past
I could try and justify it but it won’t ever happen again
Yeah I be real This moment that I desired for so much
The pedal that I stepped on for 7 years has finally been oiled
You can’t kill. Come take it if you do wanna piece of me
Just tell me through music, I don’t need a different field
If you really think you ready to fly with my power
This is what R is about fella the time is now

Secretly, turn the volume of my voice up
So you’ll know it’s me, so that my voice can reach you
Once again, turn the volume of my voice up
So you’ll know it’s me, so that my voice can reach you

Secretly, turn the volume of my voice up
So you’ll know it’s me, so that my voice can reach you
Once again, turn the volume of my voice up
So you’ll know it’s me, so that my voice can reach you",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/voice,Trans cr; Jessie & Yein @ bts-trans
RM-2,RM,RM,2015-03-20,2,Do You,,Do You,"I hate self-improvement books more than anything in the world
Useless noise telling you to do this, to that
They’re all spineless and just believing what others tell you
That’s why that kind of nonsense is a best-seller
What do they actually know about you?
Your dreams, your hobbies, do they understand?
A lot of things change when you stop caring about what others think
You were born your own owner, why are you trying to become a slave
“Because it’s youth, it hurts”
That kind of definition is the biggest problem
In life, genre is a trap, kind of like music
The second you get tied up in it, you become stupid
Fuck that. You the only one ever
Even though you’re not perfect, you’re limited edition lego
There’s someone bound to be jealous of you anyway 
So, please, just do you

Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
What the fuck you want?

I’m not pop, I’m not rock, I’m not funk, I’m not R&B or hip hop
All those who still don’t know, clear out your ear wax 
“A dress with skinny jeans? That’s not hip hop!”
Then would A$AP not be hip hop?
Are you more hip hop than A$AP or Kanye?
All you lame scholar bastards please go to the back
I say fashion is passion
If you write it in Korean they’re both ‘pae-syun’
Instead of purposefully sagging your pants when you go to Hongdae
Just wear what you want, that’s swag. that’s it
(Whoa!) Even if you follow trends, good
(Whoa!) Even if you’re different from others, good
Just the way you are is hood, just the way everyone originally is
Is right and there’s nothing wrong, it’s just that everyone’s a little different
Haters gon hate and players gon play
Mufuckas keep mufucking all day
Follow my shit, my friend and I’ll pay
I’ll spit for you in your stead
Ptui

Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
What the fuck you want?

They told you to do what you want, but even after a whole 30 years
There are a lot of adults who can’t even hold in their shit
Those who yell “respect” with their own lips
Honestly, it’s not that they don’t know the real meaning of the word
Freedom and self-indulgence, they’re definitely different
You need to know the time and place (for each)
The suckers who copy and pretend as if they didn’t
I’m saying my music is better than theirs
Who’s better than who at rapping
Who’s better than who at this thing
Fuck that, I am just doing my thang
So you should just do your own thing bitch

I’m doing me just doin me
Who were you this entire time
Oh that’s right, we were friends
Nothin’s everything, everything’s nothin x4
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
(Do the fuck you want)
Do you do you do you do you
What the fuck you want?",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/do-you,Trans cr; Jessie | Spot Checked by Yein @ bts-trans
RM-3,RM,RM,2015-03-20,3,각성 (Awakening),각성,Awakening,"The moment I begin to fall
Who’s going to hold my hand?
The moment that I step off the stage
Who’s going to be by my side?
Just tell me that I can survive
In this cold world, just feel my vibe
I know one day at a time
The sun gon’ shine

I lost too many friends
You know that I did lost too many clans
Being a singer I lost too many bands
I couldn’t help but spit and spit keepin repeatin too many damns
Gotta let my eyes watch too many ends
Outside was a whole battlefield so i bring out the chopper
Every night I fight with my inner self
My heart is beating, my co-workers stab me in the back
I hear you all became idiots after going to work at a company

Yeah fuck you I’m an idol, yeah yeah I’m an idol
Though I didn’t like it at one point, now I love to get that title
Unlike those people who come on air and are dishonest until the very end
Now I just fully acknowledge myself and just keep on doing me
Whether I was an idol or an artist was never really important
(Before), the way that you looked at me, that was all I was
I clung onto titles and hung myself on labels
Listen carefully now, to the rap of someone who’s gotten a bit smarter as time passed
These words are not wordplay, it just a warplay the world plays
We’re just fighting like soldiers errday
Yehh, I walk properly when I put my life on the line for the beat
Today, when I sing this song, is my second birthday
My buddies the way you taught me, the confidence that you got me
Was more than ‘rarri, lambo mercy, maserati you got me?
Now just come give me an XO, go bring your next soul
An endless cynical smile but I’m Rimbaud, your season in Hell*
BOOM

The moment I begin to fall
Who’s going to hold my hand?
The moment that I come off stage
Who’s going to be by my side?
Just tell me that I can survive
In this cold world, just feel my vibe
I know one day at a time
The sun gon’ shine

The moment I begin to fall
Who’s going to hold my hand?
The moment that I come off stage
Who’s going to be by my side?
Just tell me that I can survive
In this cold world, just feel my vibe
I know one day at a time
The sun gon’ shine",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/awakening,Trans cr; Jessie | Spot Checked by Yein @ bts-trans
RM-4,RM,RM,2015-03-20,4,Monster,,Monster,"21 years old, now my mum’s fully grown son
181cm and 68kg, long limbs like a model
A brain that’s better than the idiot hyungs and an open chest
You will sabotage me for all sorts of reasons, probably
But I roar, now I’m a grown simba
I live every day like I’m crazy, the calendar is always December
Soon you’ll see it too, a symbol who lives up to his name
I’m still a RAP MONSTER you immediately ignore me
Yeah from the intro to the outro
I gather all of your ears
Instead of those idiots who don’t know something when they’re given it
All you hyungs who know about being cool come here, quickly
RM’s sentimentality that explodes
You can’t explain it, not even with any long words
What whipped the kind me was
The loose tongues of those bastards
My energy that doesn’t care whether it’s the turn of the seasons
You’ll end up carrying me around with you all day, I’m a cough
My other name is indigestion, so mufuckin’ check it*
Go on play lol or something, you poor life, while I rap this

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

This life I livin’, I live life I livin’
You live, they leavin’ I spit right I’m heaven
Sick of your gimmick so get right you bitches
I pick and eat up you who have a stuck up nose, a giraffe out of its habitat
Whenever I make a sound, even the guys all stand up straight
My debt, I’m the one that carries it, that pays it back and that guarantees it
When you play LOL, you know I play roles
Rapper, composer, a star so lay low (I fuck you up)
Your one-sided love, just like Katalk, things are becoming bigger now
You’ll soon get soaked through so make sure to bring along some underwear
I walk silently along for the 7th year now, now the doors are opening
Talk behind my back in advance, you’re a loser that worries about other peoples’ lives
Oh shit, that was childish
Don’t worry, I live really fucking well
Today in Singapore, tomorrow in Taiwan bitch
I’m so busy poppin’ tags, you so busy shoutin’ nags bitch

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

I turn whichever emotion into lyrics, I’m a magician bitch
You bastards whose hearts are poor keep pasting your mouths with glue**
So that you can’t talk anymore. Why do you keep slurping?
You say that chewing me and ripping me apart and tasting me is just so fun
A low-level life bitch, go on and masturbate in that way, that’s all you can do
Yeah, ‘hip-hop, hip-hop~’ this is all you have, what can you do
You’re like the road leading back home during Lunar New Day, my rap ain’t for you***
My music ain’t for everybody, especially not for you

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster

Left side (c’mon!)
Right side (c’mon!)
If you feel this beat then come on over here (c’mon)
R to the M I’m a mufuckin’ monster
R to the M I’m a mufuckin’ monster",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/monster,Trans cr; Yein @ bts-trans
RM-5,RM,RM,2015-03-20,5,버려 (Throw Away),버려,Throw Away,"RM, motherfuckers!
RM, motherfuckers!

How far will we go, let’s go until we die
My heart beat speeds up, this is a bazooka that eats you up
Throw it away, your Bottega wallet
Throw it away, your corpse
Attitude and loser mind
Burn it all up, from your head to shoulders to your chest
(Oh!) Put some liquor on it
And put some motherfuckin' beatbox on it
(Oh!) Right now the speed is 100
Yeah put some motherfuckin' 100 100 100""
Let’s all leave
Where
Are you ready to throw it all away?
Up over there
Throw everything you have away, suckers
Our bodies and hearts are all burn up suckers
Like the Wu-Tang Clan bring da ruckus
Shout out, run and eat them up, burn up mothrfuckers
Like San-E, this is a hip-hop circus
If you know how to enjoy it, gather round suckers
Eat this and gain some strength, this is homemade food suckers
We go 100 to the 100 to the 100 to the 100

Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it

Got an automatic dick got an automatic stick got an automatic
Got an automatic beat got an automatic bitch got an automatic
Got an automatic shine, automatic, automatic mind
Automatic flow, automatic rhyme
Automatic automatic automatic automatic
Like SUGA hyung, dope man, ‘RM’ is my domain
I flip my eyes and go sane this kind of pain that I go looking for is possible because I’m young
Like San-E, this is a hip-hop circus,
If you know how to enjoy it, gather round suckers
Eat this and gain some strength, this is homemade food suckers
We go 100 to the 100 to the 100 to the 100

Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it

RaTtiSsuBbiKkaDdaBbonsai*
I flip my eyes and play hard
We go 100, I don’t do half-assed
I’m alright, you alright
Playing hard is difficult
Why did you come to my house, I came here to fuckin’ party
Everyone is like lodi dodi like a snoopy doggy doggy
I’m alright, I’m alright
I’m just great, I’m alright
We go 100 we go 100 let’s throw it away, throw it away, throw it all away yeah

Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it
Throw away, throw away, throw it away, all of it",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/throw-away,Trans cr; Yein @ bts-trans
RM-6,RM,RM,2015-03-20,6,농담 (Joke),농담,Joke,"The rhythm that rings in my eardrums
Bass & Drum the fuel that moves me
All the happiness that exists here and even all your new year’s luck
Imma fuckin get em
I’m elastin, you guys are dandruff
Rap morons, your skill levels are all similar
Fame, girls, money that ma honey to the 100 to the 100
Who will stop me Imma fuckin beat em
Haters like leeches kill me and bind me
And silence me I’m so super I juss grew up
Like a beggar motherfucker motherfucker mix them all, bend their hands and feet
Make them do a circus make them do chin ups all of them fuck up
You say one thing and mean another, women call you unni
Become thick skinned so easily, in your songs it’s as if you’re Lee Gun-Hee
You say you attract girls like flies, stop it I can see all of your reality
Hongdae variety shows and those few loyal hippies are your regulars
I open and shut the door of this place,
Like the rap pain that you shitty retards say you feel everyday
In an instant, I dominate the beat
When they see you, the beats talk and say, “beat him”
You’ll be feeling envious of my pay
Sweden, Germany, Brasil to Japan
Stronger than your dirty tongue is my pen
Now I can finally reveal my hand that is better than 5 Kwang*

Got six bullets in my tongue
Six snakes in my lung
Six shots got me feelin’ 2pac, yeah these are A$AP’s lyrics
Just like a happily married couple there’s not much to you,
Just like a perfect woman, you need no erection**
I tap tap the duster, scrub scrub and sweep away,
My tongue like water, washing the dishes
This is a meaningless wordplay, you know I got a mufuckin beat
I got a mufuckin rhyme
I got a mufuckin flow I got a mufuckin style
I got a mufuckin wine I got a mufuckin shine
Just how many measures are these, my mufuckin line
Bitch I’m the one I’m so mufuckin prime
You’re fuckin tacky, a village mayor, or a pig’s-feet loving old man style
Bitch I’m your man, 10 outta 10, my heart is black, a midsummer’s suntan
I start the battle plan, yeah my name’s brand,
I do it all alone, my name’s band
This is my amusement park, pull the lever
Your level and mine are different from their very roots
My name is greatest and my last name is ever,
I’m never asking to change my name, not me, never ever ever
Yeah, man, you’re a clown, not the powerful man,
Prey rather than the top, imitation and not the answer
When you watch porn, you come in just 3 seconds
I’m the top of the top, most powerful of the elite, answer of the answers
Even the hoobaes and sunbaes all go around
Just go suck a dick, just try it, it’s delicious
Yes you’re my enemy so fuck off!***
Day or night, fucking hard working
You can only do three-word raps, you bastard.
Bibidi babidi, boobidi babidi
Nimini namini jigimi chakami
Yours will go out, stuff yourself with dry fish

Is your name mimi? Shawty, you’re hopeless
My rap is completely insane rap
Your rap, I’ll just say one thing - don’t rap
My rap is rap that’s played in larger waters,
Yours isn’t actually rap, it’s non-rap
Yeah you’re the best woman, best vagina*
So you’re fucking good at it, abuse of power****
Ah, but now that I think of it you were never in power,
So I’ll take off the power and call you dear. Gonorrhea*****
I pop it, rock it, knock it, never stop it, talkin some trashes
I’m unemployed so I have no mercy,
You’re really unemployed so you have no money for the bus
You know I ain’t about the thousands, let me ride it yo drop it swap it
Rock it mock it stalk it lock it in my pocket there’s full of monsters
Yeah I gettin on em bitch, gettin on em rich
The son of the beach (in Korean), you’re a son of a beach
I glow like an unpolished gem, just like the son of a jade******
I’m a monster so son of a Stitch*******
Yeah man I told you that I’m a monster
That why I be rappin non stop
I do want your hands at the concert
Want your fuckin damn erry hands at the concert
Hit me",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/joke,Trans cr; Yein @ bts-trans
RM-7,RM,RM,2015-03-20,7,God Rap,,God Rap,"Amen
Thank God that I can live
Thank God that I can breathe
Thank God that I can spit
Thank God that I can dream
I can see this beautiful and hideous world
Even while someone else is dying, I can snore
Nobody knows but me, whether I’m happy or sad
When people ask me who I want to be reborn as, I always choose me
I can tell ya, if I can’t prove it
Once I die, go spit on my grave
Fuck you this is my own god rappin’
It’s alright if I don’t become a die legend cuz I’m my legend
Do you know that fire doesn’t have a shadow
Then whether I’ll become fire or light, that’s my question
I’ll become a spark, and darkness in the day 
Since when it’s bright I close them for a while and reopen my eyes when others sleep
For the fact that I can even feel pain, I thank you
If there is such a thing as god, I tell you

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, Amen

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, Amen

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, Amen

Once I used to be an aspiring rapper like you
I belittled anyone easily and honored anyone easily like a pseudo-religion
I guess I wanted to feel better about my reality 
Since I was only an amateur rapper
I said I was different, and that my tastes were not cheap
I rejected pretty much everything, because I thought that was what’s cool
Whether in the past or now, my desiring faith has always been the same
Back then I was blind, but now, I’ve seen me
The one who saves me, the enemy that pushes me
The distant cliff, they’re all me
Hey, silly humans, you can become a god too
Lift up your heads properly and try imitating Buddha’s smile
Jesus’ footsteps, Allah’s prayers
Even Maria’s love, they’re all within you
This is an unconditional salvation and an unconditional ideology
I am my own god, my own world. All of my symbol

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, AMEN

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, AMEN

Yo, this is god rap
I don’t have a thing such as religion because I’m my own god
Whatever trials come my way, I just clasp my hands together
And then tell myself again, AMEN",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/god-rap,Trans cr; Jessie | Spot Checked by Yein @ bts-trans
RM-8,RM,RM,2015-03-20,8,Rush (ft. Krizz Kaliko),,Rush (ft. Krizz Kaliko),"I should be the biggest star in the world
I should be hearing Oppa from every girl
Got to put a rush on it (Hurry)
God, help me put a rush on it (Hurry baby)

And you could be the biggest star in the world
Don’t matter, one day you’re going to leave the world trying to put a rush on it (Hurry)
God, don’t let me put a rush on it (Hurry baby)
I want to be the one they listen to people then broke they ears
I provoked the fears of them
Who she think about when she kissing you
When the smoke clears I provoke the tears of them
They cry they cry
When they see the dude with the thing on his eyes
Then I can open em wide, my mind
I can put the feelings of women aside
when they just feeling the vibe he got
Money for condo and a fiat. And begat the son of genius an a re-up
so we up the creek wit out a paddle or a pre-nump
and he bouta take Ya real far like a Prius
And make it to the top of this here and get popular
Cause When people think Ya poppin and popular they watchin Ya
And if a cloudy day and baracades is stoppin ya
Put in da stunner shades  block ’em from ya ocular
And I feels like I’m the biggest one
I’ll rock it till the wheels falls off and the feelings gone
And ima push it till my digits done
Races ain’t givin to the swiftest but the realist one

I should be the biggest star in the world
I should be hearing Oppa! from every girl
Got to put a rush on it (Hurry)
God, help me put a rush on it (Hurry baby)
And you could be the biggest star in the world
Don’t matter, one day you’re going to leave the world
trying to put a rush on it (Hurry)
God, don’t let me put a rush on it

RM!
The only voice still ruling my world
Spreadin my voice, to the whole world
keepin shinin like a pearl
Taking money hearing oppa from your bitches and all the girls,
Making all the listeners flip-flop, tick-tock & switch-swap
they lanes and finna mufuckin curl
Young monster just tryna get by
Young kali we tryna get high
Gettin’ B.I.G, get ready to die, mufucka u slide
look at me gettin fly
Makin career like my mother nation man
What’s KOREA in this modern Asia, man?
I am used to my moderation
But i’d lose it if you give me mo underration and..
Do you remember? Friend, my earlier days
Try remembering, the young me who just went around rapping
I just do it I just do it keep rushin’ with Krizz Kali
Open your eyes and watch closely how far I’ll go?

I should be the biggest star in the world
I should be hearing Oppa! from every girl
Got to put a rush on it (Hurry)
God, help me put a rush on it (Hurry baby)
And you could be the biggest star in the world
Don’t matter, one day you’re going to leave the world
trying to put a rush on it (Hurry)
God, don’t let me put a rush on it (Hurry baby)

Hating? ain’t about it
Complaining? ain’t about it
We juss keep rushin’ on it
Ke-keep rushin’ on it
What? Blaming? ain’t about it
Exclaiming? ain’t about it
We just keep rushin’ on it
Ke-keep rushin’ on it

I should be the biggest star in the world
I should be hearing Oppa! from every girl
Got to put a rush on it
God, help me put a rush on it
And you could be the biggest star in the world
Don’t matter, one day you’re going to leave the world
trying to put a rush on it
God, don’t let me put a rush on it

I should be the biggest star in the world
I should be hearing Oppa from every girl
Got to put a rush on it
God, help me put a rush on it
And you could be the biggest star in the world
Don’t matter, one day you’re going to leave the world
trying to put a rush on it
God, don’t let me put a rush on it",FALSE,FALSE,Krizz Kaliko,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/rush,Trans cr; Jessie @ bts-trans
RM-9,RM,RM,2015-03-20,9,Life,,Life,"I downed a shot of alcohol and realised
That living is just continuing to realise how lonely you are
Regardless of how many are or aren’t around you
The little me inside myself was always lonely
Why isn’t there an antonym for loneliness?
It might be because there isn’t a moment in one’s life when they aren’t lonely
Even though your surroundings may seem incredibly noisy
Moments when you have to be alone will always come back to find you
Yeah that’s a life

We live in danger,
In return for being able to see this beautiful world
Not even bulletproof vests, street lamps, sturdy cars
Can perfectly protect us from death
From the moment everyone is born
Everyone is guaranteed to die, which makes life more beautiful
Like how light needs shadow to truly be light
Like how the sun shines after a rough storm

Life, fall in love
Life is getting hurt by other people
And becoming lonely with the wind
We wanna be right
But always wrong
Were we born in order to be wrong
Is life perhaps this way
(We’ll never know what tomorrow will be like)
(Even if this building collapses, we can’t avoid it)
We tryna be bright
But always dark
Even if you feel you’ve lived long enough
You’ll still never know

The world is just one page of décalcomanie*
A punk I thought was on my side can turn into an even more vicious enemy
Like folding paper, relationships become a done deal when you fold them
In no time, they’re on the other side mocking me
Completely the same, but child, there’s no need to be mad
In front of money, some parents don’t even have kids 
We have to burn ourselves up, because the world is so cold
So that no one can freeze us, even if I may hurt myself 
Perhaps there is no such thing as right or wrong
But what we always ended up learning was that
Stepping on, holding back, erasing and hating someone
Fuck all the peace and love I know that those are the enemies of success
As if it’s so obvious
Those quotes that I hear being used like logic
Make me even sadder. But so what, even I am all talk
I am merely a breeze that passes someone by

Life, fall in love
Life is getting hurt by other people
And becoming lonely with the wind
We wanna be right
But always wrong
Were we born in order to be wrong
Is life perhaps this way

Were we born so we could live
Were we born so we could die
Were we born so we could live
Were we born so we could die
Are we living in order to die
Are we dying in order to live
The name-tag attached to my name
Is it life
Or death

Who knows..

Life, fall in love
Life is getting hurt by other people
And becoming lonely with the wind
We wanna be right
But always wrong
Were we born in order to be wrong
Is life perhaps this way
(We’ll never know what tomorrow will be like)
(Even if this building collapses, we can’t avoid it)
We tryna be bright
But always dark
Even if you feel you’ve lived long enough
You’ll still never know",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/life,Trans cr; Jessie & Yein @ bts-trans
RM-10,RM,RM,2015-03-20,10,표류 (Drift),표류,Drift,"What I was living for
I did not know

They say they live for happiness
But what exactly is it

Things that you can’t see or know
There are so many of them in this world
“You’ll grow to know them in time”
These words that the adults say, I don’t even hear them

Let’s be happy, let’s be happy
Although I live saying these words every day
In truth, I still don’t know
Why do I get so lonely

Lost in life
Lost in life
Lost in you
Lost in you

Maybe I’ve lost my way
Or perhaps there was never a road from the beginning
Even if I am with someone, a part of my heart is lonely

I’m afraid of the fact that I’ve already been born
Death hurts so much
And reality is so stifling (it makes me feel helpless)

Where is my meaning
Where is my heart
In this wide galaxy
I wander endlessly
I wander endlessly

Lost in life
Lost in life
Lost in you
Lost in you",FALSE,FALSE,,RM,FALSE,KOR,FALSE,FALSE,,,,,,,,,,,,,,,,https://www.bangtansubs.com/drift,Trans cr; Yein | Spot Checked by Alli @ bts-trans
